claim_id	evidence_stratum	classification	conclusion	estimand	sampling_unit	observed_scope	evidence_artifacts	uncertainty_and_covariance	data_lineage	forbidden_extrapolation
C01	robust_cross_species_core	supported	The pinned Freeze 1 closed world is completely accounted for: 716 catalog rows and 569 linked entries.	inventory/accounting	catalog row or linked entry	716 rows; 569 links	vgp_core_scaleout_manifest.tsv;vgp_core_scaleout_summary.json	exact counts; no sampling uncertainty; duplicate names retained as rows	catalog commit dc1b2af5a7741b97d66fb10cb2bce97f41765cdf; SHA-256 9c58420484a8b76a2d6175b7c26bf709e68bdc726a67fc7541b8c2b5a2fc13a4	inventory completeness is not biological representativeness or a diversity estimate
C02	robust_cross_species_core	supported	No pair was eligible or completed and no biological core job or estimate was promoted.	authorization/QC disposition	linked pair	566 failed non-self candidates; 3 excluded self-links	vgp_core_scaleout_qc.tsv;vgp_core_scaleout_summary.json	exact operational status; not a confidence interval on diversity	review decision and all-planned mirror digests embedded in each pair row	technical non-execution is neither low diversity nor absence of vertebrate variation
C03	robust_cross_species_core	not identifiable	Compression of callable diversity across vertebrates is not identifiable in the executed evidence.	cross-species range/rank of callable heterozygosity	one diploid individual/pair per species	0 eligible pairs	vgp_core_scaleout_paper_pairs.tsv;vgp_core_scaleout_sensitivity.tsv	no interval or phylogenetic model can be fit at n=0; windows are not replicates	closed-world pair and QC ledgers	do not infer compression from exclusions, planning priors, or targeted-gene estimates
C04	descriptive_demography	not identifiable	No unscaled or scenario-scaled PSMC history was materialized.	unscaled and scaled PSMC trajectory	same passing pair used for diversity	0 trajectories; no mutation/generation values selected	vgp_core_scaleout_scaling_scenarios.tsv;vgp_core_scaleout_qc.tsv	future PSMC and diversity must be joint outcomes clustered by pair; scenario transforms are perfectly lineage-linked	UNSCALED_PRIMARY and SPECIES_SCENARIOS_REQUIRED_AFTER_REVIEW rows	same-pair PSMC cannot independently predict, validate, or causally explain paired diversity
C05	functional_partition	not identifiable	No exact-annotation partition passed because no core pair passed; annotation remained optional.	partition-specific callable diversity	pair x exact bound partition	0 subset pairs	vgp_core_scaleout_manifest.tsv;vgp_10_pilot_review_decision.json	partitions would be nested correlated outcomes within pair	annotation status retained for all 569 pair rows	do not use annotation availability retrospectively to select core pairs
C06	bounded_association	bounded	Resource envelopes and threshold sensitivities are planning bounds only.	operational scale-out envelope	planning scenario, not species	low/base/high templates; zero biological jobs	vgp_core_scaleout_wave_manifest.tsv;vgp_core_scaleout_sensitivity.tsv	not fitted to biological PSMC runtime; bounds exclude unknown eligibility	reviewed pilot resource manifests	do not report planning envelopes as achieved scale, statistical power, or biological uncertainty
C07	specialized_mechanistic_direct	not identifiable	The direct pilot admits zero validated events, so event rate, tract distribution, CO association, and GC bias are not estimable.	direct allelic event/rate/bias	complete meiosis; event cluster	13 tetrads; 58 published candidates excluded	direct_gene_conversion_tracts.tsv;direct_gene_conversion_summary.tsv	callable opportunity and FDR/FNR absent; linked markers are clustered	Slurm preflight 1781172; Guix channel 44bbfc24e4bcc48d0e3343cd3d83452721af8c36	do not call an admitted count of zero biological absence or transfer a plant rate to vertebrates
C08	suggestive_association	suggestive	The published 45 S versus 37 W marker tally is an audit signal for follow-up only, not biased transmission.	published candidate-marker direction tally	linked marker within unvalidated candidate tract	82 W/S candidate markers plus 1 ambiguous/non-SNV	direct_gene_conversion_summary.tsv;direct_gene_conversion_tracts.tsv	events and linked markers are non-independent; reciprocal detection uncalibrated; power threshold unmet	published supplement reconciliation	do not treat marker imbalance as direct GC bias, a rate, or cross-vertebrate evidence
C09	specialized_historical	not identifiable	Historical phylogenetic WS/SW substitution bias is not estimable because the panels contain zero verified sequence bytes.	branch substitution asymmetry/historical bias	branch x partition with block resampling	2 panels; 10 taxa; 0 callable bases	vgp_phylogenetic_gbgc_clade_manifest.tsv;vgp_phylogenetic_gbgc_results.tsv	tree, polarization, mutation-context, fragmentation, and block uncertainty not fit	preflight Slurm job 1781129; frozen accessions and mirror states	do not turn historical substitutions into direct events, current bias, or population B
C10	future_population	design-only	Population AFS gBGC remains NOT_RUN/DESIGN_ONLY.	polarized WS/SW SFS and B	unrelated individual within population; linked blocks	no execution manifest	gene_conversion_dataset_manifest.tsv;gene_conversion_estimand_manifest.tsv	future demographic, mutation, polarization, LD, and block uncertainty	P_SFS/P_B design rows	do not infer B from H1/H2 and do not convert B to a pedigree rate
C11	future_non_allelic	design-only	Non-allelic paralog conversion remains NOT_RUN/DESIGN_ONLY.	copy-aware tracts/homogenization	copy nested in haplotype/individual and orthogroup	no execution manifest	gene_conversion_dataset_manifest.tsv;gene_conversion_estimand_manifest.tsv	future copy-tree, assembly/CNV, mutation, and individual-cluster uncertainty	N_TRACT/N_HOM design rows	paralog similarity is not allelic conversion or biased transmission
C12	cross_species_model	not identifiable	A phylogenetically aware diversity-demography comparison is specified but cannot be fit with zero eligible pairs.	joint cross-species association	pair/species with phylogenetic covariance	n=0	vgp_core_scaleout_summary.json;vgp_comprehensive_table_core.tsv	tree covariance plus shared-pair residual covariance required; bootstrap windows nested in pair	pre-registered analysis contract	do not run naive OLS, treat windows as taxa, or place same-pair PSMC as independent predictor
