manifest_version	control_id	selection_status	dataset_title	species	taxid	repository	dataset_accession_version	object_id	object_role	source_url	expected_bytes	upstream_checksum_algorithm	upstream_checksum	observed_bytes	transferred_bytes	local_sha256	retrieval_utc	status	local_path	relationships	complete_pedigree_or_gamete_evidence	transmitted_haplotype_evidence	directional_transmission_suitability	consent	access	license_or_terms	selective_justification
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:ena_exact_run_object_manifest	ena_exact_run_object_manifest	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB4500&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Csample_title%2Cexperiment_title%2Cinstrument_platform%2Cinstrument_model%2Clibrary_name%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cfastq_ftp%2Cfastq_bytes%2Cfastq_md5%2Csubmitted_ftp%2Csubmitted_bytes%2Csubmitted_md5&format=tsv&download=true	296265	not_published		296265	0	16db6bec543b119231ff6068e40aa31a35a2b6760595bff0547e2e998bbda41d	2026-07-18T12:17:59Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/16/db/16db6bec543b119231ff6068e40aa31a35a2b6760595bff0547e2e998bbda41d	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:article_version_metadata	article_version_metadata	https://api.elifesciences.org/articles/01426	176726	not_published		176726	0	6105359ce391a9fac4db6c233e2847ebe43a9e857fb06a272ae38b84989f2d67	2026-07-18T12:17:59Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/61/05/6105359ce391a9fac4db6c233e2847ebe43a9e857fb06a272ae38b84989f2d67	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:published_sample_and_event_tables	published_sample_and_event_tables	https://cdn.elifesciences.org/articles/01426/elife-01426-supp1-v1.xlsx	92268	not_published		92268	0	032da9fa706790f5e8f372f2d58ba9af75b2eb628508778609807377ff4042f8	2026-07-18T12:17:59Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/03/2d/032da9fa706790f5e8f372f2d58ba9af75b2eb628508778609807377ff4042f8	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:published_marker_filter_and_validation_tables	published_marker_filter_and_validation_tables	https://cdn.elifesciences.org/articles/01426/elife-01426-supp2-v1.xlsx	23070035	not_published		23070035	0	5d6a36fddec1ac1dc2f6b631b1105a69dcd57e248c507baa4c61bc5d4477536c	2026-07-18T12:17:59Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/5d/6a/5d6a36fddec1ac1dc2f6b631b1105a69dcd57e248c507baa4c61bc5d4477536c	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:published_methods_supplement	published_methods_supplement	https://cdn.elifesciences.org/articles/01426/elife-01426-supp3-v1.pdf	2300237	not_published		2300237	0	859a2b80f37517ac675e0de23cce7ee5a0d4bc928b36022b38336128bef91882	2026-07-18T12:17:59Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/85/9a/859a2b80f37517ac675e0de23cce7ee5a0d4bc928b36022b38336128bef91882	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:reference_dataset_report	reference_dataset_report	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_000001735.4/dataset_report	2579	not_published		2579	0	a18408640999e3a51e5139468f43195e36ad61527639d68b09c7c982eb95f32e	2026-07-18T12:18:00Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/a1/84/a18408640999e3a51e5139468f43195e36ad61527639d68b09c7c982eb95f32e	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	small immutable metadata/published event or tract evidence selected instead of the complete bulk raw-read archive
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:tair10_reference_fasta	tair10_reference_fasta	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.fna.gz	37482399	md5	0fed2d7901bf1488f20e7ef6842cd84c	37482399	0	a182f3c71662973dc636cacd7722588c9bbe3c8ea6ce62b1bae7dac940545d47	2026-07-18T12:18:00Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/a1/82/a182f3c71662973dc636cacd7722588c9bbe3c8ea6ce62b1bae7dac940545d47	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	exact TAIR10 reference/annotation required by D01; no alternative reference
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:tair10_refseq_annotation	tair10_refseq_annotation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.gff.gz	22213077	md5	b809ab966e03e2a2d438b78656d9b409	22213077	0	d6a3aa3c00df97cf0a458608572fbe721424a4740e64e9ddef9398c4eef7db5f	2026-07-18T12:18:01Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/d6/a3/d6a3aa3c00df97cf0a458608572fbe721424a4740e64e9ddef9398c4eef7db5f	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	exact TAIR10 reference/annotation required by D01; no alternative reference
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:tair10_assembly_report	tair10_assembly_report	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_assembly_report.txt	1783	md5	a0fafa5fc5214c21f49ca3415640f033	1783	0	12ce7833ce4d38b8ad49256e5fbe8eec6b6d4f870ec39ae698f9d74bcb750e19	2026-07-18T12:18:01Z	reused	/moosefs/erikg/lewontin-paradox-data/vgp/phase1-freeze-1.0/objects/sha256/12/ce/12ce7833ce4d38b8ad49256e5fbe8eec6b6d4f870ec39ae698f9d74bcb750e19	tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public ENA study and open eLife article	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	exact TAIR10 reference/annotation required by D01; no alternative reference
vgp-10-pilot-acquisition-v1.0.0	D01	selected	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	3702	ENA;eLife	PRJEB4500;ERP003793;doi:10.7554/eLife.01426.v1	D01:bulk_raw_archive_not_selected	bulk_raw_archive_exclusion_aggregate	https://www.ebi.ac.uk/ena/browser/view/PRJEB4500	356984558868	per_object_md5_in_acquired_ena_manifest	951 exact MD5 values					superseded		tetrad 29: 29_1,29_2,29_3,29_4; tetrad 38: 38_1,38_2,38_3,38_4; tetrad 40: 40_1,40_2,40_3,40_4; tetrad 58: 58_1,58_2,58_3,58_4; tetrad 62: 62_1,62_2,62_3,62_4; tetrad 34: 34_1,34_2,34_3,34_4; tetrad 35: 35_1,35_2,35_3,35_4; tetrad 39: 39_1,39_2,39_3,39_4; tetrad 51: 51_1,51_2,51_3,51_4; tetrad 53: 53_1,53_2,53_3,53_4; tetrad 68: 68_1,68_2,68_3,68_4; tetrad 69: 69_1,69_2,69_3,69_4; tetrad 76: 76_1,76_2,76_3,76_4; parents: Col-0,Ler_WUR,Cvi_NEW_correct; 29_4_batch4 is a technical library for product 29_4	13 complete four-product male meiotic tetrads (52 products) with exact Col/Ler/Cvi parental libraries; not inferred from trio labels	all four products reconstruct reciprocal Col/Ler haplotypes; published 2:2, 3:1, and 1:3 marker segregation tables permit directional conversion adjudication	suitable for 13 parent-to-four-product meioses; GC-bias remains pilot/descriptive at this sample size	non-human plant material; human-participant consent not applicable	public; deliberately not transferred	ENA/EMBL-EBI terms of use and study citation; eLife article/supplements CC BY 3.0; third-party rights not transferred	excluded all 951 FASTQ objects/356984558868 bytes; even the bounded 13-tetrad+3-parent subset is 697 objects/265809761864 bytes. Published event/filter tables and exact run metadata are the selected stratified validation assets; zero FASTQs were acquired.
