schema_version	path	status	sha256	reason
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_source_inventory.tsv	HISTORICAL	80b22d4d5e8d8a4cdaed01a3f5b38b55d445d0c553fadbdfe62141c7f230d65c	frozen mirror inventory
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_mirror_manifest.tsv	HISTORICAL	e0a982c000b89d858c1594a64491b0b8083041d84c7a1391ba5640d00e1a1439	completed mirror output manifest
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_mirror_summary.json	HISTORICAL	c44af46a25e3914b4e2247a2850e9e949e0dae95f56bfde5d2370e03ceaa9962	completed mirror output summary
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_exception_ledger.json	HISTORICAL	7ae02d5448c149d384c111bc18fe71b6436f44d11c9a361b84592072f7856928	mirror exception evidence
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_bgzf_inventory.tsv	HISTORICAL	6535f79d17f37c649f74b7011edff16ef5160dcc1df43627f5ee2bf885f94896	BGZF conversion input snapshot
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_bgzf_manifest.tsv	HISTORICAL	7aab16fe80156e6f89edc078471ffa8e850a9dc2b160187548da6a78605f0870	completed BGZF output manifest
vgp-repair-base-artifact-status-v1	analysis/vgp_freeze1_bgzf_summary.json	HISTORICAL	2deba1f953274a5190a6d60a1b51897193c050f6f3c5bd4cbdd2fd670d45551b	completed BGZF output summary
vgp-repair-base-artifact-status-v1	analysis/vgp_real_canary_execution_v1.json	HISTORICAL	1a7a951c3c8bcbfac4931f9b0de99457774639e565bfd2d77f850e9334d77dbd	prior canary execution packet
vgp-repair-base-artifact-status-v1	analysis/vgp_real_canary_promotion_v1.json	HISTORICAL	4d9afaa4371d626c5d9337bd8d46842cd2a4e75437efd3f3c4e16c66bec93157	prior canary promotion packet
vgp-repair-base-artifact-status-v1	analysis/vgp_real_pilot_P04_execution_v1.json	HISTORICAL	cbb6d0d06c549e8e9d2c24c2fc513dd433516bfebf83af9ed151ac7b36b168a4	prior pilot execution packet
vgp-repair-base-artifact-status-v1	analysis/vgp_real_pilot_closed_world_v1.json	HISTORICAL	11410bfc3b2fea47073459cab84342e3f40096ba2c51a015506c9fe762df5625	prior ten-pair accounting snapshot
vgp-repair-base-artifact-status-v1	analysis/vgp_real_pilot_fastga_scratch_v1.json	HISTORICAL	83230d329819b3aa40316f4491a86c52886a764f63aa79d9df5f0f1a83b296e3	prior live scratch evidence
vgp-repair-base-artifact-status-v1	analysis/vgp_real_pilot_sacct_v1.tsv	HISTORICAL	632177fa8298cdc4e40cf092fccb01a8d47ae5c086328810fa738cb46eba6834	prior pilot scheduler telemetry
vgp-repair-base-artifact-status-v1	analysis/vgp_psmc_bootstrap_repair_v1.json	HISTORICAL	ba4a041f9b00891906e2d5b4171438bcefbed29dfb5668670f597ab60d5a22de	repair diagnostic evidence, not new run authority
vgp-repair-base-artifact-status-v1	analysis/vgp_read_validation_environment_v1.json	HISTORICAL	79def0a03e16a402eaf42cbf09b32c5f2079579d12a925e5a632656f6de9bce3	realized raw-validation environment
vgp-repair-base-artifact-status-v1	analysis/vgp_read_validation_evidence_manifest_v1.json	HISTORICAL	5443e4eb9c4f74be6f504dbb90ec7ecd3a7db374ba667a12bc2ce5436cf3cd0c	raw measurement evidence index
vgp-repair-base-artifact-status-v1	analysis/vgp_read_validation_results_v1.json	HISTORICAL	cb5a4b4ade7c408d707b4efa6930e1f9ad8c764c5831c6832984288b1ac46c54	prior paired sensitivity measurements
vgp-repair-base-artifact-status-v1	analysis/vgp_read_validation_per_pair_v1.tsv	SUPERSEDED	67528b2ef3de0005c9f77bfa1009f0e447f7ed3a77163ce09ce4d16bd73e2af2	prior pair disposition is not a biological exclusion
vgp-repair-base-artifact-status-v1	analysis/vgp_read_validation_report_v1.md	SUPERSEDED	ea71cfa02fd06efcbcb00b94f5aaa7c30ed386a43ab60dfa5b5223cee6b4cfd6	prior interpretive decision is non-authoritative
vgp-repair-base-artifact-status-v1	analysis/vgp_real_scaleout_v1/summary.json	SUPERSEDED	db57c44ce7cf1e2e7b414d8c634b181688243e2348b2c216af3eb50aa5f0937a	two-result accounting is not VGP scale-out
vgp-repair-base-artifact-status-v1	analysis/vgp_real_scaleout_v1/pair_accounting.tsv	SUPERSEDED	088eb89b81201dcb0677be0773f737305d8660056483cca7ddee03ceb26c9fca	technical outcomes are not biological exclusions
vgp-repair-base-artifact-status-v1	analysis/vgp_real_scaleout_v1/results.md	SUPERSEDED	94438496b59d4b297c4de246ec4eb39261fa97cea1af165cf43ae3be2c1aba48	two-result scale-out conclusion is non-authoritative
vgp-repair-base-artifact-status-v1	analysis/vgp_real_synthesis_v1/manifest.json	SUPERSEDED	30ac128c1f5f844a86e224a5309a799b31de3fa52b3a0940375a07f91fa9c57f	conclusion packet excluded from corrective base
vgp-repair-base-artifact-status-v1	analysis/vgp_real_synthesis_v1/paper_pairs.tsv	SUPERSEDED	01df6d40de1db8f6607cfc751bdf8cf7c5c33fe3006dd09697c71711c812f725	P07 biological exclusion is not adopted
vgp-repair-base-artifact-status-v1	analysis/vgp_real_synthesis_v1/claim_ledger.tsv	SUPERSEDED	d4262e4b4afd4b1e6d45a3c29838657576aa5404abbe96ce56fc778ca894979e	conclusion claims are not adopted
vgp-repair-base-artifact-status-v1	analysis/vgp_real_synthesis_v1/report.md	SUPERSEDED	e167d801c5db2798fee8b4834c038c5241d4bff76d585ead3e101099c91b238e	conclusion report is not adopted
