tuple_id	population_id	sample_id	records_in_callable_mask	called_chromosome_observations	missing_chromosome_observations	heterozygous_snv_sites	nonreference_genotype_sites
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0006-C	14972821	29925470	20172	184115	298159
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0009-C	14972821	29928124	17518	184750	298044
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0018-Cx	14972821	29924868	20774	182145	296097
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0019-C	14972821	29926558	19084	181480	296722
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0024-C	14972821	29921676	23966	170954	291397
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0027-C	14972821	29924890	20752	183470	297172
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0040-C	14972821	29923270	22372	182420	297325
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0045-C	14972821	29926478	19164	183986	297500
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0051-C	14972821	29924178	21464	185907	299261
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0061-C	14972821	29921236	24406	185697	298249
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0064-C	14972821	29922994	22648	188995	300791
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0065-C	14972821	29925024	20618	185802	298688
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0069-Cx	14972821	29925368	20274	183517	297516
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0080-C	14972821	29924638	21004	187328	299949
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0081-Cx	14972821	29923320	22322	183014	297145
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0084-C	14972821	29917694	27948	199516	314654
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0085-C	14972821	29924506	21136	185886	299579
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0090-Cx	14972821	29925564	20078	185671	298891
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0093-C	14972821	29925770	19872	178485	294770
ag1000g_phase3_ao_coluzzii	AO_Luanda_2009_coluzzii	AR0100-C	14972821	29926808	18834	181527	296873
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0003-C	14990338	29934264	46412	236477	331353
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0009-C	14990338	29936476	44200	236165	332810
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0011-C	14990338	29932856	47820	234894	331057
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0028-C	14990338	29936600	44076	235590	331730
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0042-C	14990338	29937170	43506	236793	332949
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0054-C	14990338	29934920	45756	233995	329873
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0059-C	14990338	29935066	45610	235989	330990
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0277-C	14990338	29934202	46474	235628	331867
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0278-C	14990338	29935068	45608	235191	330497
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0291-C	14990338	29935658	45018	234688	330824
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0294-C	14990338	29935684	44992	235021	330824
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0303-C	14990338	29935220	45456	234922	331737
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0309-C	14990338	29933184	47492	235809	331057
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0316-C	14990338	29929872	50804	254340	350855
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0317-C	14990338	29934746	45930	235297	331260
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0340-C	14990338	29935840	44836	236100	331723
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0349-C	14990338	29935752	44924	232734	330333
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0354-C	14990338	29934496	46180	236136	331716
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0363-C	14990338	29935830	44846	236409	331800
ag1000g_phase3_gm_coluzzii	GM_WaliKunda_2012_coluzzii	AG0371-C	14990338	29934098	46578	237137	333208
